검색조건
대출기간,2023-05-01 ~ 2023-05-19
성별,남성
연령,40대
지역,전체
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2023-05-20
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"43","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","슈크림북","2021","4","9791190409261","74810","813.7","107",
"46","흔한남매 과학 탐험대 5 : 물리 1","흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)","주니어김영사","2022","5","9788934940753","","","106",
"46","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","1","9791164060481","74830","833.6","106",
"48","흔한남매 과학 탐험대 3 : 인체","흔한남매 (원작), 이재국, 이현진, 서지은 (글), 김덕영 (그림), 정현철, 김희목, 권경아, 최진수, 박준건 (기획)","주니어김영사","2021","3","9788934983439","","","105",
"48","흔한남매 과학 탐험대","원작: 흔한남매 ;그림: 김덕영","김영사","2021","1","9788934989257","77400","400","105",
"48","낭만 강아지 봉봉","홍민정 글 ;김무연 그림","다산북스","2022","3","9791130696577","74810","813.7","105",
"48","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","15","9791164064410","74830","833.6","105",
"48","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","2","9791196025809","74910","911","105",
"53","흔한남매 과학 탐험대 6 : 물리 2","흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)","주니어김영사","2022","6","9788934946793","","","103",
"53","흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트","원작: 흔한남매 ;그림: 유희석","다산북스","2021","4","9791130641607","77700","710","103",
"53","낭만 강아지 봉봉","홍민정 글 ;김무연 그림","다산북스","2022","1","9791130679990","74810","813.7","103",
"53","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","8","9791164131914","74830","833.6","103",
"53","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","7","9791168412279","77490","472","103",
"58","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","3","9788936448011","74810","813.7","102",
"58","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","3","9791164060931","74830","833.6","102",
"58","(흔한남매) 안 흔한 일기","흔한남매 원작 ;조병주 그림","미래엔","2020","1","9791164134649","74810","816.7","102",
"58","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","17","9791165382940","74910","911","102",
"62","흔한남매 불꽃 튀는 우리말 5 - 초등 국어 고수 되기 프로젝트","한은호 (지은이), 흔한남매 (원작), 유희석 (그림), 흔한컴퍼니 (감수)","다산어린이","2022","5","9791130679266","","","101",
"62","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","6","9791164062072","74830","833.6","101",
"62","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","9","9791188874262","74910","911","101",
"62","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","12","9791188874460","74910","911","101",
"62","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","23","9791191496642","74910","911","101",
"67","아몬드손원평 장편소설","손원평","창비","2017","","9788936434267","03810","813.7","100",
"67","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","4","9788936448134","74810","813.7","100",
"67","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","2","9791164060498","74830","833.6","100",
"67","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","12","9791164063956","74830","833.6","100",
"67","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","2","9791164136438","77490","472","100",
"67","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","6","9791168411029","77490","472","100",
"67","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","6","9791168411852","77400","400","100",
"67","브라질에 비가 내리면 스타벅스 주식을 사라 :경제의 큰 흐름에서 기회를 잡는 매크로 투자 가이드 ","피터 나바로 지음 ;이창식 옮김","에프엔미디어","2022","","9791188754588","03320","327.856","100",
"67","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","슈크림북","2021","3","9791190409148","74810","813.7","100",
"67","(박병창의 돈을 부르는) 매매의 기술 ","박병창 지음","콘텐츠그룹 포레스트","2021","","9791191347180","03320","327.856","100",
"77","낭만 강아지 봉봉","홍민정 글 ;김무연 그림","다산북스","2022","2","9791130622590","74810","813.7","99",
"77","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","13","9791165382650","74910","911","99",
"77","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","11","9791188874385","74910","911","99",
"77","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","5","9791196232160","74910","911","99",
"81","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","2","9788936447861","74810","813.7","98",
"81","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","5","9791164139750","77490","472","98",
"81","(흔한남매) 별난 방탈출 :탈출 미션 스토리북","흔한남매 원작 ;차차 그림","미래엔","2020","4","9791168410541","77810","691","98",
"84","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","7","9791164062270","74830","833.6","97",
"84","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","9","9791164134090","74830","833.6","97",
"84","달러구트 꿈 백화점.이미예 장편소설 ","지은이: 이미예","팩토리나인","2020","","9791165341909","03810","813.7","97",
"84","(서울 자가에 대기업 다니는) 김 부장 이야기 ","송희구 지음","서삼독","2021","2","9791165344009","03320","325.04","97",
"84","사이토 히토리의 1퍼센트 부자의법칙 - 반드시 성공하는 일천 번의 법칙","사이토 히토리 (지은이), 김진아 (옮긴이)","나비스쿨","2023","","9791197389450","","","97",
"89","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스 미디어그룹","2016","16","9791168120266","67400","408","96",
"89","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","2","9791168413955","74810","813.5","96",
"89","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","8","9791168414822","77400","400","96",
"89","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","22","9791191496604","74910","911","96",
"93","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","22","9788950997519","74900","980.2","95",
"93","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","3","9791164137435","77490","472","95",
"93","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","20","9791165383114","74910","911","95",
"93","흔한남매 오해요 :귀염 뽀짝 부캐들과 펼치는 초단편 콩트 만화 ","원작: 흔한남매 ;그림: 유난희","미래엔","2022","","9791168410930","77810","810","95",
"93","호랭떡집 ","글·그림: 서현","사계절(사계절출판사)","2023","","9791169811163","77810","813.7","95",
"98","겨울 이불 :안녕달 그림책 ","지은이: 안녕달","창비","2023","","9788936455965","77810","813.7","94",
"98","(정재승의) 인간 탐구 보고서","글: 정재은,그림: 김현민","북이십일","2019","9","9788950983154","74400","511","94",
"98","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","5","9791164062065","74830","833.6","94",
"98","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","4","9791164138425","77490","472","94",
"98","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스 미디어그룹","2016","13","9791190630184","67400","408","94",
"98","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","21","9791191496208","74910","911","94",
"98","(이미 늦었다고 생각하는 당신을 위한) 김미경의 마흔 수업 ","김미경 지음","엠케이유니버스","2023","","9791198013026","03320","325.211","94",
"105","나의 투자는 새벽 4시에 시작된다 :3년 만에 300억으로 돌아온 유목민의 투자 인사이트 ","유목민 지음","웅진씽크빅","2022","","9788901259703","03320","327.856","93",
"105","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,정수영","아울북","2005","53","9788950903138","77720","711.4","93",
"105","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","14","9791165382674","74910","911","93",
"105","(신기한 맛) 도깨비 식당","김용세,센개 그림","꿈터","2022","1","9791167390615","74810","813.7","93",
"105","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","10","9791188874293","74910","911","93",
"110","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","8","9791164062287","74830","833.6","91",
"110","주식시세의 비밀 ","정재호 지음","프런트페이지","2023","","9791197871269","03320","327.856","91",
"112","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,정수영","아울북","2005","55","9788950942274","77720","711.4","90",
"112","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","3","9788950976118","74900","980.2","90",
"112","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","7","9791162339466","74830","833.6","90",
"112","세이노의 가르침","세이노 (지은이)","데이원","2023","","9791168473690","","","90",
"112","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","1","9791195794799","74910","911","90",
"117","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","10","9791164063581","74830","833.6","89",
"117","마흔에 읽는 니체 =지금 이순간을 살기 위한 철학 수업 /Nietzsche ","장재형 지음","유노콘텐츠그룹","2022","","9791192300245","03160","165.77","89",
"119","책 먹는 여우의 여름 이야기 ","프란치스카 비어만 글·그림 ;송순섭 옮김","김영사","2022","","9788934951056","73850","853","88",
"119","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,정수영","아울북","2005","54","9788950922955","77720","711.4","88",
"119","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","11","9788950984144","74900","980.2","88",
"119","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","11","9791164063734","74830","833.6","88",
"119","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","15","9791165382704","74910","911","88",
"119","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","8","9791188874217","74910","911","88",
"119","이 책은 돈 버는 법에 관한 이야기 :서민갑부 고명환의 생각법, 독서법, 장사법 ","고명환 지음","라곰","2022","","9791189686536","03320","325.2113","88",
