검색조건
대출기간,2023-05-01 ~ 2023-05-19
성별,남성
연령,40대
지역,전체
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2023-05-20
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"178","(흔한남매) 안 흔한 일기","흔한남매 원작 ;조병주 그림","미래엔","2020","3","9791164136223","74810","816.7","80",
"178","(신기한 맛) 도깨비 식당","김용세,센개 그림","꿈터","2022","2","9791167390646","74810","813.7","80",
"186","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","2","9788937853470","74830","833.6","79",
"186","그리스 로마 신화","글: 박시연 ;그림: 최우빈","북이십일","2017","1","9788950971366","74800","219","79",
"186","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,정수영","아울북","2005","45","9788950980801","77720","711.4","79",
"186","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","10","9788950983369","74900","980.2","79",
"186","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018","12","9788950985554","74900","980.2","79",
"186","Go go 카카오프렌즈 :자연탐사","글: 조주희 ;이혜림","북이십일","2022","2","9788950991456","74400","472","79",
"186","바삭바삭 갈매기 ","전민걸 글·그림","한림출판사","2014","","9788970947273","77810","813.7","79",
"186","설민석의 세계사 대모험","글: 설민석,그림: 박성일","단꿈아이","2019","12","9791191496161","77900","909","79",
"186","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스 미디어그룹","2016","15","9791191766318","67400","408","79",
"186","채사장의 지대넓얕 :지적 대화를 위한 넓고 얕은 지식","글: 채사장,그림: 정용환","Dolphin Books(돌핀북)","2021","4","9791197578441","74900","001","79",
"196","비밀요원 레너드","글: 박설연 ;그림: 김덕영","북이십일","2022","12","9788950905682","74810","813.7","78",
"196","비밀요원 레너드","글: 박설연 ;그림: 김덕영","북이십일","2019","5","9788950983727","74810","813.7","78",
"196","비밀요원 레너드","글: 박설연 ;그림: 김덕영","북이십일","2019","7","9788950993559","74810","813.7","78",
"196","정재승의 인류 탐험 보고서","글: 차유진,그림: 김현민","북이십일","2021","4","9788950996536","74400","471","78",
"196","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스 미디어그룹","2016","1","9788960869646","67400","408","78",
